"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"AT01_01"	"AT01_02"	"AT01_03"	"AT01_04"	"B001_01"	"B001_02"	"B001_03"	"B001_04"	"B001_05"	"B001_06"	"B001_07"	"B001_08"	"B001_09"	"B001_10"	"CS01_01"	"CS01_02"	"CS01_03"	"IN01_01"	"IN01_02"	"IN01_03"	"PB01_01"	"PB01_02"	"SN01_01"	"SN01_02"	"SN01_03"	"SW01_01"	"SW01_02"	"SW01_03"	"SW01_04"	"SW01_05"	"SW01_06"	"SW01_07"	"SW01_08"	"WD01"	"WD02"	"WD02_01"	"WD02_02"	"WD02_03"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
45			"base"	"interview"	2024-05-14 09:55:00	3	1	3	3	4	2	2	3	-1	3	2	2	1	-1	1	1	1	-1	3	3	-1	1	2	1	1	1	1	2	2	4	1	1	1	5	1	F	F	T	13	14	38	11	12	14	34	34	9	179		2024-05-14 09:57:59	T	F	9	9	0	0	1.61
46			"base"	"interview"	2024-05-14 09:55:01	3	2	4	1	1	2	1	3	2	3	1	3	2	1	3	3	3	2	2	2	4	3	1	2	2	3	2	2	2	2	2	3	2	5	1	F	F	T	10	10	70	32	23	30	98	105	13	391		2024-05-14 10:01:32	T	F	9	9	0	0	0.94
47			"base"	"interview"	2024-05-14 09:55:01	-1	-1	-1	-1	1	3	3	4	-1	4	2	1	3	-1	1	1	1	1	3	2	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	5	1	F	F	T	5	7	14	3	11	69	68	29	4	163		2024-05-14 09:58:31	T	F	9	9	0	0	2.1
48			"base"	"interview"	2024-05-14 09:55:02	2	1	4	4	4	3	2	3	3	4	4	1	1	4	4	3	4	3	4	3	4	4	3	2	-1	4	4	1	4	1	3	3	4	5	1	F	F	T	62	22	67	27	27	21	121	92	52	408		2024-05-14 10:03:13	T	F	9	9	0	0	0.64
49			"base"	"interview"	2024-05-14 09:55:02	3	1	3	3	4	3	2	-1	-1	3	3	3	3	-1	3	2	2	2	3	2	3	3	3	2	3	3	2	2	2	2	3	3	3	5	1	F	F	T	37	29	65	38	17	25	104	81	22	418		2024-05-14 10:02:00	T	F	9	9	0	0	0.71
50			"base"	"interview"	2024-05-14 09:55:02	3	1	4	4	4	3	2	3	-1	4	3	2	1	-1	4	3	3	3	4	3	3	3	3	2	2	3	3	1	3	3	2	3	3	5	1	F	F	T	14	19	48	20	14	17	84	65	45	326		2024-05-14 10:00:28	T	F	9	9	0	0	0.96
51			"base"	"interview"	2024-05-14 09:55:03	3	1	4	3	1	2	2	4	1	3	2	3	2	2	3	3	3	2	3	2	3	3	2	2	3	4	3	2	3	2	2	3	3	5	1	F	F	T	33	33	43	42	32	32	108	83	31	437		2024-05-14 10:02:20	T	F	9	9	0	0	0.66
52			"base"	"interview"	2024-05-14 09:55:05	4	1	3	2	1	1	1	1	1	1	1	4	2	3	2	3	2	1	2	1	1	1	3	1	2	1	1	4	1	4	2	3	3	5	1	F	F	T	23	10	48	18	32	20	73	74	31	329		2024-05-14 10:00:34	T	F	9	9	0	0	0.94
54			"base"	"interview"	2024-05-14 09:55:18	2	4	2	3	1	3	1	2	1	4	3	4	3	2	-1	-1	-1	2	3	2	3	2	2	2	1	2	2	2	2	3	2	2	2	1	1	F	F	T	8	12	51	20	21	24	76	101	3	316		2024-05-14 10:00:34	T	F	9	9	0	0	1.25
55			"base"	"interview"	2024-05-14 09:55:19	3	1	3	2	1	1	3	1	1	4	1	1	1	2	3	3	3	2	4	2	2	3	2	1	1	4	1	3	1	2	2	2	2	5	1	F	F	T	4	9	83	25	17	57	60	115	11	346		2024-05-14 10:01:40	T	F	9	9	0	0	1.21
56			"base"	"interview"	2024-05-14 09:55:24	3	2	3	2	2	3	2	2	-1	3	2	3	3	2	3	3	3	2	-1	-1	2	2	2	2	2	3	2	3	3	2	2	2	2	5	1	F	F	T	13	16	36	19	14	23	74	51	25	271		2024-05-14 09:59:55	T	F	9	9	0	0	1.08
57			"base"	"interview"	2024-05-14 09:55:46	4	2	4	3	4	4	3	3	-1	4	4	1	1	-1	3	3	2	3	4	3	3	3	3	2	2	3	3	2	2	2	3	3	3	5	1	F	F	T	15	15	56	19	21	25	68	83	18	320		2024-05-14 10:01:07	T	F	9	9	0	0	0.94
59			"base"	"interview"	2024-05-14 09:58:50																																		-9	0	F	F	F	5	21								26		2024-05-14 09:59:16	F	F	2	2	100	100	1.66
60			"base"	"interview"	2024-05-16 10:51:15	3	1	3	4	4	3	2	3	2	4	4	1	1	-1	4	4	4	4	4	4	3	3	3	3	1	4	4	1	4	4	4	4	4	6	1	T	F	F	36	9	16	12	7	13	36	29	9	167		2024-05-16 10:54:02	T	F	9	9	0	0	1.88
62			"base"	"interview"	2024-05-17 10:06:42	4	1	4	3	1	1	2	2	2	3	2	2	1	-1	3	2	1	1	2	1	3	3	2	2	1	3	1	2	2	2	1	3	2	6	1	F	F	T	15	11	23	16	11	16	38	64	13	207		2024-05-17 10:10:09	T	F	9	9	0	0	1.46
64			"base"	"interview"	2024-05-17 10:08:49	4	1	4	1	1	2	4	4	1	4	1	3	1	1	1	2	1	1	1	1	4	2	1	1	1	1	1	3	1	3	1	1	2	6	1	F	F	T	10	12	34	14	20	31	45	110	22	298		2024-05-17 10:13:47	T	F	9	9	0	0	1.14
65			"base"	"interview"	2024-05-17 10:11:23	3	1	3	2	1	1	1	1	1	2	1	4	3	1	1	1	1	2	1	1	1	1	1	1	1	2	1	4	1	4	1	1	1	6	1	F	F	T	7	9	70	33	18	25	97	212	109	350		2024-05-17 10:21:03	T	F	9	9	0	0	0.88
66			"base"	"interview"	2024-05-17 10:43:26	3	2	3	3														2	3	3	3	3	2	1	-1									5	1	F	F	T	16	22	36	21	18	33				146		2024-05-17 10:45:52	F	F	6	6	0	0	0.92
67			"base"	"interview"	2024-05-17 11:01:53	3	1	4	3	2	3	3	2	-1	4	4	1	1	-1	3	2	3	2	3	2	3	3	2	3	3	3	2	2	3	2	2	3	3	6	1	T	F	F	16	10	22	13	12	12	41	58	27	211		2024-05-17 11:05:24	T	F	9	9	0	0	1.47
68			"base"	"interview"	2024-05-17 11:50:19	4	1	4	3	3	4	2	3	1	4	3	2	2	4	3	2	2	2	4	1	4	3	4	1	2	4	3	2	2	2	1	2	3	5	2	T	T	F	5	16	71	95	10	15	142	120	43	442		2024-05-17 11:58:56	T	F	9	9	0	0	0.99
69			"base"	"interview"	2024-05-17 11:50:21	4	2	4	2	2	4	2	-1	-1	4	1	2	-1	4	3	2	2	3	3	1	2	3	1	1	2	3	3	2	2	3	1	2	3	5	1	T	F	F	3	16	124	20	34	22	133	122	20	494		2024-05-17 11:58:35	T	F	9	9	0	0	0.98
70			"base"	"interview"	2024-05-17 11:50:24	-1	-1	-1	1	1	1	2	3	1	3	2	4	4	2	3	2	3	2	2	1	-1	2	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	1	F	F	T	5	14	107	22	13	31	84	49	24	349		2024-05-17 11:56:13	T	F	9	9	0	0	1.11
71			"base"	"interview"	2024-05-17 11:50:26	-1	2	3	1	1	1	1	3	1	1	1	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	5	1	F	F	T	18	13	190	13	47	15	71	24	14	241		2024-05-17 11:57:11	T	F	9	9	0	0	1.2
72			"base"	"interview"	2024-05-17 11:50:26	4	2	3	3	4	3	2	4	-1	4	3	1	1	-1	3	2	3	2	3	4	3	3	3	2	1	3	3	2	3	2	1	3	3	5	1	F	F	T	9	30	145	27	10	13	63	43	15	269		2024-05-17 11:56:21	T	F	9	9	0	0	1.13
73			"base"	"interview"	2024-05-17 11:50:30	3	1	4	1	1	3	3	4	4	4	3	1	1	-1	3	3	3	1	2	1	1	1	1	1	1	1	1	4	1	4	1	1	1	5	1	F	F	T	14	5	60	9	16	8	76	53	10	251		2024-05-17 11:54:41	T	F	9	9	0	0	1.65
74			"base"	"interview"	2024-05-17 11:50:32	-1	2	3	-1	1	1	3	1	1	1	2	4	2	1	2	1	1	1	1	1	1	1	2	1	-1	2	1	-1	-1	-1	-1	-1	-1	5	1	F	F	T	13	132	79	20	36	16	54	27	15	253		2024-05-17 11:57:04	T	F	9	9	0	0	1.1
76			"base"	"interview"	2024-05-17 11:50:38	1	1	3	1														2	3	1	2	3	2	2	2									5	1	F	F	T	22	176	89	21	30	18				195		2024-05-17 11:56:34	F	F	6	6	0	0	0.66
77			"base"	"interview"	2024-05-17 11:50:38																																		5	1	F	F	T	36	8								44		2024-05-17 11:51:22	F	F	2	2	0	0	1.12
79			"base"	"interview"	2024-05-17 11:50:39	3	2	3	1	1	-1	1	4	2	4	4	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4	2	-1	-1	1	1	-1	1	1	5	1	F	F	T	3	75	66	39	12	14	81	83	13	326		2024-05-17 11:57:05	T	F	9	9	0	0	1.16
80			"base"	"interview"	2024-05-17 11:50:43	3	1	4	2																			1	1	2									5	1	F	F	T	20	14	65	42						141		2024-05-17 11:53:04	F	F	4	4	0	0	0.77
81			"base"	"interview"	2024-05-17 11:50:44	3	1	3	3	2	3	3	2	2	3	3	1	2	-1	4	3	3	2	3	2	2	2	2	2	-1	3	1	2	1	2	2	3	1	5	1	F	F	T	4	11	110	47	13	36	179	54	18	367		2024-05-17 11:58:36	T	F	9	9	0	0	1.08
82			"base"	"interview"	2024-05-17 11:50:48	4	1	3	3	2	2	2	3	-1	2	1	3	2	-1	3	3	3	3	3	2	2	3	2	2	3	3	2	3	2	3	3	3	3	5	1	F	F	T	20	31	148	16	14	120	56	34	14	266		2024-05-17 11:58:21	T	F	9	9	0	0	0.97
84			"base"	"interview"	2024-05-17 11:50:54																																		5	1	F	F	T	3	11	1554875							73		2024-05-17 11:51:08	F	F	2	3	0	0	1.45
85			"base"	"interview"	2024-05-17 11:50:55																																		5	1	F	F	T	5	41								46		2024-05-17 11:51:41	F	F	2	2	0	0	1.48
88			"base"	"interview"	2024-05-17 12:24:10	3	2	3	2	2	3	2	2	1	4	1	4	1	1	3	3	2	3	4	4	2	3	3	2	4	3	3	4	3	3	2	3	3	5	1	T	F	F	8	14	33	14	42	57	109	136	73	368		2024-05-17 12:32:16	T	F	9	9	0	0	0.9
89			"base"	"interview"	2024-05-17 14:07:04	3	2	3	3	2	3	-1	2	1	3	2	2	2	1	3	3	3	2	3	2	3	3	2	2	2	2	2	-1	3	-1	3	-1	3	6	1	F	F	T	5	39	63	20	19	22	74	75	21	338		2024-05-17 14:12:43	T	F	9	9	0	0	1.05
90			"base"	"interview"	2024-05-17 16:38:10	2	2	2	2	1	2	1	3	3	3	1	3	1	2	3	-1	-1	2	2	1	2	1	1	3	3	3	2	3	1	3	2	1	3	6	1	F	F	T	5	15	34	17	12	21	59	63	16	242		2024-05-17 16:42:12	T	F	9	9	0	0	1.36
91			"base"	"interview"	2024-05-20 18:02:55	3	1	4	3	4	4	3	2	3	4	3	2	2	4	4	3	4	4	4	3	4	4	4	2	3	4	4	1	3	1	3	3	4	5	1	F	F	T	8	13	43	18	8	21	79	66	15	271		2024-05-20 18:07:26	T	F	9	9	0	0	1.25
92			"base"	"interview"	2024-05-28 23:56:26	3	1	4	-1	4	3	1	-1	-1	4	2	3	2	3	3	3	3	-1	3	-1	4	4	2	2	3	4	3	1	2	1	3	3	3	6	1	F	F	T	17	18	57	21	16	35	94	74	32	364		2024-05-29 00:02:30	T	F	9	9	0	0	0.82
93			"base"	"interview"	2024-06-01 18:17:25	3	1	4	3	4	3	-1	2	2	3	3	3	3	-1	4	4	3	-1	3	3	3	3	3	3	-1	4	3	1	-1	-1	3	3	3	6	1	F	F	T	32	8	61	117	7	12	32	460	11	256		2024-06-01 18:29:45	T	F	9	9	0	0	1.26
99			"base"	"interview"	2024-06-06 09:45:52	3	1	4	3	4	3	3	2	3	4	3	1	1	-1	4	3	3	3	4	3	3	4	3	2	3	3	-1	1	4	2	4	4	3	6	1	T	F	F	3	13	30	25	11	13	71	72	13	251		2024-06-06 09:50:03	T	F	9	9	0	0	1.47
